EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
12.4,3.3,2.8,0.4,1,0.3,45.1,74.8,45.2,104,104,0.8,-1.3
7.3,2.9,2.2,0.9,0.2,0.5,32.5,56.3,32.8,99,73,-0.5,-6.2
19.5,16.2,9.5,2.2,0.4,0.9,52.1,72.2,52.1,102,108,22.1,1.2
9,3.1,3.3,0.8,0.6,0.2,42.1,74.2,42.1,107,97,-0.1,-2.4
15,3.6,2.4,0.6,0.2,0.4,44.4,54.5,44.4,103,100,-0.1,-3.5
20.6,19.2,8.5,2,1,0.8,49.4,79.9,50.6,105,113,27.5,1.4
12.6,4.3,3,0.2,0.2,0.3,46.2,61.5,46.2,105,100,-0.1,-4.7
13.7,7.7,4.7,1.6,0.3,0.4,53.3,72.4,53.4,105,109,3.7,0.1
26.2,2.5,1.6,0,1,0.1,37.5,75,43.8,91,105,0,-1.9
6.4,1,1.3,0.1,0.4,0.1,36.8,55.6,36.8,104,88,-0.2,-4.5
11.3,3,1.9,0.2,0.3,0.3,40.4,76.8,40.7,106,100,-0.9,-4.7
8.2,6.1,2.8,1.2,0.4,0.8,40.9,57.5,49.4,102,102,15.2,0.5
10.5,2.6,2.1,0.5,0.3,0.6,45.6,69.3,46.2,104,109,3.3,0
11.7,6.4,2.2,1.8,0.2,0.6,47.5,82.4,48.7,109,105,0.5,-1.8
14.6,10.9,7.5,2.1,1.8,0.5,45.2,74.8,45.6,106,105,7.2,0
13.4,0.9,0.3,0.5,0,0.2,63.6,50,63.6,104,121,0,-3.3
9.3,2.6,0.8,0.5,0.2,0.4,34.9,50,38.4,102,81,-0.2,-5.6
15.7,8.9,1.3,3.2,0.1,0.6,41.7,87.6,45.5,110,109,-1.1,-2.3
10.8,8.4,2.1,1.2,0.2,0.7,43.5,78.3,43.5,106,92,-2.2,-4.9
-0.1,1.1,1,0.4,0.1,0.2,28.2,33.3,30.8,110,66,-0.3,-8.2
3.1,1.8,1.1,0.5,0.1,0.1,26.5,50,29.6,106,74,-0.2,-9.1
12.4,3.5,1.7,0.3,0.1,0.3,52.4,60.4,52.4,109,101,-0.2,-3.9
